ts_code,symbol,name,area,industry
OTIS,OTIS,Otis Worldwide,US,Industrials
PCAR,PCAR,Paccar,US,Industrials
PKG,PKG,Packaging Corporation of America,US,Materials
PLTR,PLTR,Palantir Technologies,US,Information Technology
PANW,PANW,Palo Alto Networks,US,Information Technology
PSKY,PSKY,Paramount Skydance Corporation,US,Communication Services
PH,PH,Parker Hannifin,US,Industrials
PAYX,PAYX,Paychex,US,Industrials
PYPL,PYPL,PayPal,US,Financials
PNR,PNR,Pentair,US,Industrials
PEP,PEP,PepsiCo,US,Consumer Staples
PFE,PFE,Pfizer,US,Health Care
PCG,PCG,PG&E Corporation,US,Utilities
PM,PM,Philip Morris International,US,Consumer Staples
PSX,PSX,Phillips 66,US,Energy
PNW,PNW,Pinnacle West Capital,US,Utilities
PNC,PNC,PNC Financial Services,US,Financials
POOL,POOL,Pool Corporation,US,Consumer Discretionary
PPG,PPG,PPG Industries,US,Materials
PPL,PPL,PPL Corporation,US,Utilities
PFG,PFG,Principal Financial Group,US,Financials
PG,PG,Procter & Gamble,US,Consumer Staples
PGR,PGR,Progressive Corporation,US,Financials
PLD,PLD,Prologis,US,Real Estate
PRU,PRU,Prudential Financial,US,Financials
PEG,PEG,Public Service Enterprise Group,US,Utilities
PTC,PTC,PTC Inc.,US,Information Technology
PSA,PSA,Public Storage,US,Real Estate
PHM,PHM,PulteGroup,US,Consumer Discretionary
PWR,PWR,Quanta Services,US,Industrials
QCOM,QCOM,Qualcomm,US,Information Technology
DGX,DGX,Quest Diagnostics,US,Health Care
Q,Q,Qnity Electronics,US,Information Technology
RL,RL,Ralph Lauren Corporation,US,Consumer Discretionary
RJF,RJF,Raymond James Financial,US,Financials
RTX,RTX,RTX Corporation,US,Industrials
O,O,Realty Income,US,Real Estate
REG,REG,Regency Centers,US,Real Estate
REGN,REGN,Regeneron Pharmaceuticals,US,Health Care
RF,RF,Regions Financial Corporation,US,Financials
RSG,RSG,Republic Services,US,Industrials
RMD,RMD,ResMed,US,Health Care
RVTY,RVTY,Revvity,US,Health Care
HOOD,HOOD,Robinhood Markets,US,Financials
ROK,ROK,Rockwell Automation,US,Industrials
ROL,ROL,"Rollins, Inc.",US,Industrials
ROP,ROP,Roper Technologies,US,Information Technology
ROST,ROST,Ross Stores,US,Consumer Discretionary
RCL,RCL,Royal Caribbean Group,US,Consumer Discretionary
SPGI,SPGI,S&P Global,US,Financials
CRM,CRM,Salesforce,US,Information Technology
SNDK,SNDK,Sandisk,US,Information Technology
SBAC,SBAC,SBA Communications,US,Real Estate
SLB,SLB,Schlumberger,US,Energy
STX,STX,Seagate Technology,US,Information Technology
SRE,SRE,Sempra,US,Utilities
NOW,NOW,ServiceNow,US,Information Technology
SHW,SHW,Sherwin-Williams,US,Materials
SPG,SPG,Simon Property Group,US,Real Estate
SWKS,SWKS,Skyworks Solutions,US,Information Technology
SJM,SJM,J.M. Smucker Company (The),US,Consumer Staples
SW,SW,Smurfit Westrock,US,Materials
SNA,SNA,Snap-on,US,Industrials
SOLV,SOLV,Solventum,US,Health Care
SO,SO,Southern Company,US,Utilities
LUV,LUV,Southwest Airlines,US,Industrials
SWK,SWK,Stanley Black & Decker,US,Industrials
SBUX,SBUX,Starbucks,US,Consumer Discretionary
STT,STT,State Street Corporation,US,Financials
STLD,STLD,Steel Dynamics,US,Materials
STE,STE,Steris,US,Health Care
SYK,SYK,Stryker Corporation,US,Health Care
SMCI,SMCI,Supermicro,US,Information Technology
SYF,SYF,Synchrony Financial,US,Financials
SNPS,SNPS,Synopsys,US,Information Technology
SYY,SYY,Sysco,US,Consumer Staples
TMUS,TMUS,T-Mobile US,US,Communication Services
TROW,TROW,T. Rowe Price,US,Financials
TTWO,TTWO,Take-Two Interactive,US,Communication Services
TPR,TPR,"Tapestry, Inc.",US,Consumer Discretionary
TRGP,TRGP,Targa Resources,US,Energy
TGT,TGT,Target Corporation,US,Consumer Staples
TEL,TEL,TE Connectivity,US,Information Technology
